,ID,LABEL,PATH
0,1719_A2LEBJJDE00138G_1604825410116_6_BH.jpg,0,/data/hbsuh/HairLoss/Training/0/1719_A2LEBJJDE00138G_1604825410116_6_BH.jpg
1,5436_A2LEBJJDE00098K_1604738501770_3_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/5436_A2LEBJJDE00098K_1604738501770_3_TH.jpg
2,1069_A2LEBJJDE00094D_1610265240471_5_RH.jpg,0,/data/hbsuh/HairLoss/Training/0/1069_A2LEBJJDE00094D_1610265240471_5_RH.jpg
3,2404_A2LEBJJDE000175_1604735458420_4_LH.jpg,0,/data/hbsuh/HairLoss/Training/0/2404_A2LEBJJDE000175_1604735458420_4_LH.jpg
4,1407_A2LEBJJDE001258_1604743436766_3_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/1407_A2LEBJJDE001258_1604743436766_3_TH.jpg
5,6775_A2LEBJJDE00022Y_1605248510032_4_LH.jpg,0,/data/hbsuh/HairLoss/Training/0/6775_A2LEBJJDE00022Y_1605248510032_4_LH.jpg
6,6995_A2LEBJJDE00104R_1605244043368_2_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/6995_A2LEBJJDE00104R_1605244043368_2_TH.jpg
7,2327_A2LEBJJDE00091Y_1608435419149_3_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/2327_A2LEBJJDE00091Y_1608435419149_3_TH.jpg
8,6766_A2LEBJJDE00114L_1602842405172_6_BH.jpg,0,/data/hbsuh/HairLoss/Training/0/6766_A2LEBJJDE00114L_1602842405172_6_BH.jpg
9,5009_A1LCAIHDH00020E_1611804223850_6_BH.jpg,0,/data/hbsuh/HairLoss/Training/0/5009_A1LCAIHDH00020E_1611804223850_6_BH.jpg
10,5214_A2LEBJJDE001399_1603954655208_3_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/5214_A2LEBJJDE001399_1603954655208_3_TH.jpg
11,1195_A2LEBJJDE00197M_1604568129545_2_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/1195_A2LEBJJDE00197M_1604568129545_2_TH.jpg
12,4717_A2LEBJJDE001208_1603433660239_2_TH.jpg,0,/data/hbsuh/HairLoss/Training/0/4717_A2LEBJJDE001208_1603433660239_2_TH.jpg
